numero_processo,dias_desde_ajuizamento,ano_ajuizamento,mes_ajuizamento,trimestre_ajuizamento,dia_semana_ajuizamento,grau,classe_categoria,tipo_vara,municipio_fortaleza,sistema,formato,qtd_assuntos,tem_medicamento,tem_tutela_urgencia,tem_obrigacao_fazer,tem_dano_moral,area_saude,assunto_principal,qtd_movimentos,velocidade_movimentos,movimentos_recentes,tipo_distribuicao,complexidade_score,tem_recurso,sexo_juiz,sexo_requerente,sentenca_favoravel,status
02072733020258060001,138,2025,2,1,6,G1,Outros,Infância_Juventude,1,SAJ,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,33,0.2391,0,Desconhecido,33,0,F,M,False,sucesso
02071771520258060001,108,2025,2,1,5,G1,Procedimento Comum Cível,Infância_Juventude,1,SAJ,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,31,0.287,0,Desconhecido,31,0,F,M,False,sucesso
02372198120248060001,178,2025,2,1,2,G2,Apelação Cível,Outros,0,Pje,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,47,0.264,0,Desconhecido,47,1,M,F,True,sucesso
02000532420238060171,204,2025,2,1,1,G2,Apelação Cível,Presidencia,0,Pje,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,58,0.2843,0,Desconhecido,58,1,F,F,True,sucesso
02000532420238060171,143,2025,2,1,1,G2,Apelação Cível,Outros,0,Pje,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,48,0.3357,0,Desconhecido,48,1,F,F,True,sucesso
02031207720228060091,144,2025,2,1,0,G2,Apelação Cível,Outros,0,Pje,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,32,0.2222,0,Desconhecido,32,1,M,Indefinido,False,sucesso
02055767120258060001,185,2025,2,1,2,G1,Procedimento Comum Cível,Infância_Juventude,1,SAJ,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,42,0.227,0,Desconhecido,42,0,F,F,True,sucesso
02054250820258060001,211,2025,2,1,1,G1,Procedimento Comum Cível,Infância_Juventude,1,SAJ,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,35,0.1659,0,Desconhecido,35,0,F,F,True,sucesso
02046802820258060001,155,2025,2,1,3,G1,Outros,Infância_Juventude,1,SAJ,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,26,0.1677,0,Desconhecido,26,0,Indefinido,F,True,dados_incompletos
02041476920258060001,194,2025,2,1,0,G1,Procedimento Comum Cível,Outros,1,SAJ,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,36,0.1856,0,Desconhecido,36,0,M,F,True,sucesso
02010461620228060070,178,2025,1,1,1,G2,Apelação Cível,Outros,0,Pje,Eletrônico,2,1,0,0,0,1,Fornecimento de medicamentos,28,0.1573,0,Desconhecido,56,1,M,F,False,sucesso
02449896220238060001,174,2024,12,4,2,G2,Apelação Cível,Outros,0,Pje,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,11,0.0632,0,Desconhecido,11,1,M,F,False,sucesso
02504819820248060001,218,2024,12,4,3,G2,Apelação Cível,Outros,0,SAJ,Eletrônico,2,1,0,1,0,1,Fornecimento de medicamentos,45,0.2064,0,Desconhecido,90,1,F,F,False,sucesso
02002594520248060028,280,2024,12,4,2,G2,Apelação Cível,Outros,0,SAJ,Eletrônico,2,1,0,1,0,1,Obrigação de Fazer / Não Fazer,101,0.3607,0,Desconhecido,202,1,M,Indefinido,False,sucesso
02051220520238060117,260,2024,11,4,4,G2,Apelação Cível,Outros,0,Pje,Eletrônico,2,1,0,0,0,1,Fornecimento de medicamentos,33,0.1269,0,Desconhecido,66,1,M,F,False,sucesso
02003828720248060175,329,2024,11,4,0,G2,Apelação Cível,Presidencia,0,SAJ,Eletrônico,4,1,1,0,0,1,Tutela de Urgência,86,0.2614,0,Desconhecido,344,1,Indefinido,M,True,sucesso
02820545720248060001,245,2024,11,4,4,G1,Outros,Infância_Juventude,1,SAJ,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,50,0.2041,0,Desconhecido,50,0,F,M,False,sucesso
02533348020248060001,248,2024,11,4,1,G2,Outros,Outros,0,SAJ,Eletrônico,2,1,0,1,0,1,Fornecimento de medicamentos,50,0.2016,0,prevenção,100,1,F,M,False,sucesso
02014744020248060001,288,2024,11,4,4,G2,Apelação Cível,Outros,0,SAJ,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,28,0.0972,0,Desconhecido,28,1,Indefinido,F,False,sucesso
02132763520248060001,317,2024,10,4,0,G2,Apelação Cível,Outros,0,Pje,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,55,0.1735,0,Desconhecido,55,1,F,M,True,sucesso
02132763520248060001,292,2024,10,4,0,G2,Apelação Cível,Outros,1,Pje,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,47,0.161,0,Desconhecido,47,1,F,M,True,sucesso
02132763520248060001,256,2024,10,4,0,G2,Apelação Cível,Outros,0,Pje,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,35,0.1367,0,prevenção,35,1,F,M,True,sucesso
02023430920228060151,322,2024,10,4,2,G2,Outros,Outros,0,Pje,Eletrônico,2,1,0,0,0,1,Tutela de Urgência,54,0.1677,0,Desconhecido,108,1,M,M,True,sucesso
02486548620238060001,261,2024,10,4,2,G2,Apelação Cível,Outros,0,SAJ,Eletrônico,2,1,0,1,0,1,Fornecimento de medicamentos,62,0.2375,0,Desconhecido,124,1,M,M,False,sucesso
02094665220248060001,138,2024,10,4,0,G2,Apelação Cível,Outros,0,SAJ,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,41,0.2971,0,Desconhecido,41,1,M,F,False,sucesso
02231282020238060001,201,2024,10,4,0,G2,Apelação Cível,Outros,0,SAJ,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,39,0.194,0,Desconhecido,39,1,M,F,True,sucesso
02209661820248060001,232,2024,10,4,0,G2,Apelação Cível,Outros,0,SAJ,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,45,0.194,0,Desconhecido,45,1,M,M,False,sucesso
02528405520238060001,232,2024,10,4,0,G2,Apelação Cível,Outros,0,SAJ,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,45,0.194,0,Desconhecido,45,1,M,F,False,sucesso
02172268620238060001,206,2024,10,4,2,G2,Apelação Cível,Outros,0,SAJ,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,40,0.1942,0,Desconhecido,40,1,Indefinido,M,False,sucesso
02756647120248060001,306,2024,10,4,0,G1,Procedimento Comum Cível,Outros,1,Pje,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,46,0.1503,0,Desconhecido,46,0,F,Indefinido,False,sucesso
02427548820248060001,371,2024,10,4,0,G2,Outros,Presidencia,0,SAJ,Eletrônico,2,1,0,1,0,1,Fornecimento de medicamentos,72,0.1941,0,Desconhecido,144,1,F,F,False,sucesso
02739610820248060001,277,2024,10,4,0,G1,Procedimento Comum Cível,Infância_Juventude,1,SAJ,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,64,0.231,0,Desconhecido,64,0,F,M,False,sucesso
02004035720228060135,133,2024,10,4,2,G2,Apelação Cível,Outros,0,Pje,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,31,0.2331,0,Desconhecido,31,1,M,Indefinido,False,sucesso
02044250720248060001,163,2024,9,3,3,G2,Apelação Cível,Outros,0,SAJ,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,41,0.2515,0,Desconhecido,41,1,F,F,False,sucesso
02135353020248060001,228,2024,9,3,3,G2,Apelação Cível,Presidencia,0,SAJ,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,60,0.2632,0,Desconhecido,60,1,F,F,True,sucesso
02390076720238060001,191,2024,9,3,2,G2,Apelação Cível,Outros,0,SAJ,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,42,0.2199,0,Desconhecido,42,1,F,Indefinido,False,sucesso
01588748720138060001,351,2024,9,3,1,G2,Apelação Cível,Outros,0,Pje,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,19,0.0541,0,Desconhecido,19,1,M,M,False,sucesso
01588748720138060001,290,2024,9,3,1,G2,Apelação Cível,Outros,0,Pje,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,18,0.0621,0,Desconhecido,18,1,M,M,False,sucesso
02321608320228060001,203,2024,9,3,4,G2,Apelação Cível,Presidencia,0,SAJ,Eletrônico,2,1,0,0,0,1,Urgência,66,0.3251,0,Desconhecido,132,1,M,F,True,sucesso
02681151020248060001,240,2024,9,3,3,G1,Procedimento Comum Cível,Infância_Juventude,1,SAJ,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,42,0.175,0,Desconhecido,42,0,F,Indefinido,False,sucesso
02467916120248060001,397,2024,9,3,2,G2,Outros,Outros,0,SAJ,Eletrônico,3,1,0,1,0,1,Fornecimento de medicamentos,111,0.2796,0,Desconhecido,333,1,F,M,False,sucesso
02370517920248060001,178,2024,9,3,2,G2,Outros,Outros,0,SAJ,Eletrônico,2,1,0,1,0,1,Fornecimento de medicamentos,44,0.2472,0,Desconhecido,88,1,F,Indefinido,True,sucesso
02370725520248060001,241,2024,9,3,2,G2,Outros,Outros,0,SAJ,Eletrônico,2,1,0,1,0,1,Fornecimento de medicamentos,54,0.2241,0,Desconhecido,108,1,F,F,True,sucesso
02670126520248060001,341,2024,9,3,0,G1,Outros,Infância_Juventude,1,SAJ,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,39,0.1144,0,Desconhecido,39,0,F,F,False,sucesso
02558284920238060001,256,2024,8,3,3,G2,Apelação Cível,Outros,0,SAJ,Eletrônico,2,1,0,0,0,1,Tratamento médico-hospitalar,46,0.1797,0,Desconhecido,92,1,F,F,False,sucesso
02003903720228060045,225,2024,8,3,4,G2,Apelação Cível,Outros,0,Pje,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,54,0.24,0,Desconhecido,54,1,M,M,False,sucesso
02621834120248060001,77,2024,8,3,2,G1,Procedimento Comum Cível,Infância_Juventude,1,SAJ,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,27,0.3506,0,Desconhecido,27,0,F,M,True,sucesso
02612489820248060001,111,2024,8,3,6,G1,Procedimento Comum Cível,Infância_Juventude,1,SAJ,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,29,0.2613,0,Desconhecido,29,0,F,M,True,sucesso
02609544620248060001,82,2024,8,3,4,G1,Procedimento Comum Cível,Infância_Juventude,1,SAJ,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,32,0.3902,0,Desconhecido,32,0,F,M,True,sucesso
02595505720248060001,86,2024,8,3,0,G1,Procedimento Comum Cível,Infância_Juventude,1,SAJ,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,34,0.3953,0,Desconhecido,34,0,F,F,True,sucesso
02006444220228060099,372,2024,8,3,4,G2,Apelação Cível,Outros,0,Pje,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,23,0.0618,0,Desconhecido,23,1,M,F,True,sucesso
02587668020248060001,90,2024,8,3,3,G1,Procedimento Comum Cível,Infância_Juventude,1,SAJ,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,31,0.3444,0,Desconhecido,31,0,F,M,True,sucesso
02578938020248060001,92,2024,8,3,1,G1,Procedimento Comum Cível,Infância_Juventude,1,SAJ,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,29,0.3152,0,Desconhecido,29,0,F,M,True,sucesso
02675542020238060001,92,2024,8,3,1,G2,Apelação Cível,Outros,0,SAJ,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,44,0.4783,0,Desconhecido,44,1,M,F,False,sucesso
02580530820248060001,123,2024,8,3,1,G1,Procedimento Comum Cível,Infância_Juventude,1,SAJ,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,31,0.252,0,Desconhecido,31,0,F,M,True,sucesso
02004945120248060112,155,2024,8,3,1,G2,Apelação Cível,Outros,0,SAJ,Eletrônico,2,1,0,1,0,1,Fornecimento de medicamentos,38,0.2452,0,Desconhecido,76,1,M,M,False,sucesso
02572858220248060001,126,2024,8,3,5,G1,Outros,Infância_Juventude,1,SAJ,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,46,0.3651,0,Desconhecido,46,0,F,F,False,sucesso
02567332020248060001,97,2024,8,3,3,G1,Procedimento Comum Cível,Infância_Juventude,1,SAJ,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,27,0.2784,0,Desconhecido,27,0,F,M,True,sucesso
02566275820248060001,97,2024,8,3,3,G1,Procedimento Comum Cível,Infância_Juventude,1,SAJ,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,34,0.3505,0,Desconhecido,34,0,F,F,False,sucesso
02567210620248060001,160,2024,8,3,3,G1,Procedimento Comum Cível,Infância_Juventude,1,SAJ,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,45,0.2812,0,Desconhecido,45,0,F,M,True,sucesso
02012283620238060112,344,2024,8,3,3,G2,Apelação Cível,Presidencia,0,SAJ,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,105,0.3052,0,Desconhecido,105,1,M,Indefinido,False,sucesso
02755743420228060001,129,2024,7,3,2,G2,Apelação Cível,Outros,0,SAJ,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,45,0.3488,0,Desconhecido,45,1,M,F,False,sucesso
02560845520248060001,71,2024,7,3,1,G1,Procedimento Comum Cível,Infância_Juventude,1,SAJ,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,28,0.3944,0,Desconhecido,28,0,F,M,True,sucesso
02014386120228060035,222,2024,7,3,0,G2,Apelação Cível,Outros,0,Pje,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,43,0.1937,0,Desconhecido,43,1,M,F,True,sucesso
02555865620248060001,249,2024,7,3,0,G1,Procedimento Comum Cível,Infância_Juventude,1,SAJ,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,33,0.1325,0,Desconhecido,33,0,F,M,True,sucesso
02547161120248060001,319,2024,7,3,4,G1,Procedimento Comum Cível,Outros,1,Pje,Eletrônico,2,1,0,0,0,1,Fornecimento de medicamentos,60,0.1881,0,Desconhecido,120,0,Indefinido,M,False,sucesso
02006578620228060181,387,2024,7,3,3,G2,Outros,Outros,0,Pje,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,25,0.0646,0,Desconhecido,25,0,Indefinido,Indefinido,True,sucesso
02545109420248060001,76,2024,7,3,3,G1,Procedimento Comum Cível,Infância_Juventude,1,SAJ,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,33,0.4342,0,Desconhecido,33,0,F,F,True,sucesso
02617480420238060001,352,2024,7,3,2,G2,Apelação Cível,Outros,0,Pje,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,43,0.1222,0,Desconhecido,43,1,M,F,False,sucesso
02540301920248060001,105,2024,7,3,2,G1,Procedimento Comum Cível,Infância_Juventude,1,SAJ,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,27,0.2571,0,Desconhecido,27,0,F,Indefinido,True,sucesso
02533599320248060001,79,2024,7,3,0,G1,Procedimento Comum Cível,Infância_Juventude,1,SAJ,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,27,0.3418,0,Desconhecido,27,0,F,F,True,sucesso
02533823920248060001,79,2024,7,3,0,G1,Procedimento Comum Cível,Infância_Juventude,1,SAJ,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,27,0.3418,0,Desconhecido,27,0,F,M,True,sucesso
02533425720248060001,79,2024,7,3,0,G1,Procedimento Comum Cível,Infância_Juventude,1,SAJ,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,25,0.3165,0,Desconhecido,25,0,F,F,True,sucesso
02534144420248060001,107,2024,7,3,0,G1,Procedimento Comum Cível,Infância_Juventude,1,SAJ,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,30,0.2804,0,Desconhecido,30,0,F,Indefinido,True,sucesso
02533348020248060001,138,2024,7,3,0,G1,Procedimento Comum Cível,Infância_Juventude,1,SAJ,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,49,0.3551,0,Desconhecido,49,0,F,M,False,sucesso
02520772020248060001,359,2024,7,3,2,G1,Procedimento Comum Cível,Outros,1,Pje,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,51,0.1421,0,Desconhecido,51,0,M,Indefinido,False,sucesso
02504819820248060001,181,2024,7,3,3,G1,Procedimento Comum Cível,Infância_Juventude,1,SAJ,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,42,0.232,0,Desconhecido,42,0,F,F,False,sucesso
02000231720228060076,307,2024,7,3,1,G2,Apelação Cível,Presidencia,0,SAJ,Eletrônico,2,1,1,0,0,1,Fornecimento de medicamentos,62,0.202,0,Desconhecido,124,1,M,F,True,sucesso
02011391820228060154,404,2024,7,3,0,G2,Apelação Cível,Outros,0,Pje,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,28,0.0693,0,Desconhecido,28,1,M,F,True,sucesso
02010634820228060136,98,2024,7,3,2,G2,Outros,Outros,0,Pje,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,17,0.1735,0,Desconhecido,17,0,Indefinido,M,True,sucesso
02467916120248060001,103,2024,6,2,4,G1,Procedimento Comum Cível,Infância_Juventude,1,SAJ,Eletrônico,2,1,0,0,0,1,Tratamento médico-hospitalar,75,0.7282,0,Desconhecido,150,0,F,M,False,sucesso
02001736320248060064,318,2024,6,2,4,G2,Apelação Cível,Presidencia,0,SAJ,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,90,0.283,0,Desconhecido,90,1,M,F,False,sucesso
02457185420248060001,416,2024,6,2,2,G1,Procedimento Comum Cível,Outros,1,Pje,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,49,0.1178,0,Desconhecido,49,0,F,F,False,sucesso
02678787820218060001,327,2024,6,2,0,G2,Apelação Cível,Presidencia,0,SAJ,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,99,0.3028,0,Desconhecido,99,1,M,F,False,sucesso
02427548820248060001,144,2024,6,2,5,G1,Procedimento Comum Cível,Infância_Juventude,1,SAJ,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,47,0.3264,0,Desconhecido,47,0,F,F,False,sucesso
02424846420248060001,453,2024,6,2,4,G1,Procedimento Comum Cível,Infância_Juventude,1,SAJ,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,41,0.0905,0,Desconhecido,41,0,F,F,False,sucesso
02207205620238060001,394,2024,6,2,2,G2,Apelação Cível,Outros,0,SAJ,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,44,0.1117,0,sucessão,44,1,M,F,True,sucesso
02763171020238060001,271,2024,6,2,0,G2,Apelação Cível,Outros,0,SAJ,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,46,0.1697,0,Desconhecido,46,1,Indefinido,F,False,sucesso
02397608720248060001,105,2024,6,2,2,G1,Procedimento Comum Cível,Infância_Juventude,1,SAJ,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,26,0.2476,0,Desconhecido,26,0,F,M,True,sucesso
02392151720248060001,78,2024,6,2,0,G1,Outros,Infância_Juventude,1,SAJ,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,31,0.3974,0,Desconhecido,31,0,F,F,True,sucesso
02097517920238060001,467,2024,5,2,4,G2,Apelação Cível,Outros,0,Pje,Eletrônico,2,1,0,0,0,1,Tutela de Urgência,21,0.045,0,Desconhecido,42,1,M,F,False,sucesso
02097517920238060001,406,2024,5,2,4,G2,Apelação Cível,Outros,0,Pje,Eletrônico,2,1,0,0,0,1,Fornecimento de medicamentos,20,0.0493,0,Desconhecido,40,1,M,F,False,sucesso
02765608520228060001,190,2024,5,2,4,G2,Apelação Cível,Outros,0,SAJ,Eletrônico,2,1,0,0,0,1,Fornecimento de insumos,50,0.2632,0,Desconhecido,100,1,M,F,True,sucesso
02372198120248060001,446,2024,5,2,0,G1,Procedimento Comum Cível,Outros,1,Pje,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,64,0.1435,0,Desconhecido,64,0,M,F,True,sucesso
02370517920248060001,135,2024,5,2,0,G1,Procedimento Comum Cível,Infância_Juventude,1,SAJ,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,46,0.3407,0,Desconhecido,46,0,F,Indefinido,True,sucesso
02370725520248060001,135,2024,5,2,0,G1,Procedimento Comum Cível,Infância_Juventude,1,SAJ,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,60,0.4444,0,Desconhecido,60,0,F,F,True,sucesso
02026623020228060101,138,2024,5,2,4,G2,Outros,Outros,0,Pje,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,22,0.1594,0,Desconhecido,22,0,M,F,True,sucesso
02027941520248060167,139,2024,5,2,3,G1,Procedimento Comum Cível,Infância_Juventude,0,SAJ,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,60,0.4317,0,Desconhecido,60,0,M,F,True,sucesso
02354868020248060001,476,2024,5,2,2,G1,Procedimento Comum Cível,Outros,1,Pje,Eletrônico,2,1,0,0,0,1,Tutela de Urgência,108,0.2269,0,sorteio,216,0,M,F,True,sucesso
02037474420228060071,319,2024,5,2,0,G2,Apelação Cível,Presidencia,0,SAJ,Eletrônico,2,1,0,0,0,1,Fornecimento de medicamentos,75,0.2351,0,Desconhecido,150,1,Indefinido,F,False,sucesso
02341451920248060001,106,2024,5,2,4,G1,Procedimento Comum Cível,Infância_Juventude,1,SAJ,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,41,0.3868,0,Desconhecido,41,0,F,M,True,sucesso
02341114420248060001,106,2024,5,2,4,G1,Procedimento Comum Cível,Infância_Juventude,1,SAJ,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,30,0.283,0,sorteio,30,0,F,M,True,sucesso
02336792520248060001,125,2024,5,2,3,G1,Procedimento Comum Cível,Infância_Juventude,1,SAJ,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,31,0.248,0,Desconhecido,31,0,F,F,True,sucesso
02333086120248060001,108,2024,5,2,2,G1,Procedimento Comum Cível,Infância_Juventude,1,SAJ,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,28,0.2593,0,Desconhecido,28,0,F,Indefinido,True,sucesso
