numero_processo,tipo_decisao
02004246920238060144,Procedência
30003746320238060115,Procedência
02416742620238060001,Procedência
02416786320238060001,Procedência
30004386120238060119,Procedência
30235052120238060001,Procedência
02002258020238060036,Procedência
02415418120238060001,Procedência
02414534320238060001,Procedência
02003457620238060181,Procedência
30000448520238060141,Procedência
02407882720238060001,Procedência
30004342420238060119,Procedência
30004369120238060119,Procedência
02403344720238060001,Procedência
02399837420238060001,Procedência
02239362520238060001,Procedência
02231282020238060001,Procedência
02225635620238060001,Procedência
30002711820238060160,Procedência
30002333220238060119,Procedência
02225765520238060001,Procedência
30158907720238060001,Procedência
30155694220238060001,Procedência
02215831220238060001,Procedência
02213727320238060001,Procedência
02213987120238060001,Procedência
30150991120238060001,Procedência
30002713620238060154,Procedência
02207205620238060001,Procedência
30002134120238060119,Procedência
02198839820238060001,Procedência
02196457920238060001,Procedência
02189408120238060001,Procedência
30001978720238060119,Procedência
02001166920238060132,Procedência
30000271820238060119,Procedência
30000263320238060119,Procedência
02000256720238060038,Procedência
30000101520238060108,Procedência
02041430320238060001,Procedência
02000603920238060034,Procedência
02035333520238060001,Procedência
30000177120238060119,Procedência
02000558720238060043,Procedência
02001650520238060167,Procedência
02027677920238060001,Procedência
02000532420238060171,Procedência
30000912920238060151,Procedência
02001223920238060112,Procedência
02000325320238060137,Procedência
02020246920238060001,Procedência
02001291620238060117,Procedência
02000197120238060099,Procedência
02000624320238060055,Procedência
02000808720238060112,Procedência
02029050420228060091,Procedência
02870039520228060001,Procedência
02864071420228060001,Procedência
02005542320228060038,Procedência
02017152620228060052,Procedência
02011073720228060049,Procedência
02015616220228060034,Procedência
30009363220228060075,Procedência
02018867320228060119,Procedência
02026623020228060101,Procedência
02014401620228060137,Procedência
02026528320228060101,Procedência
02010634820228060136,Procedência
02014271720228060137,Procedência
02847729520228060001,Procedência
02009257120228060107,Procedência
02018633020228060119,Procedência
02018633020228060119,Procedência
02007831620228060124,Procedência
02007614220228060096,Procedência
02765608520228060001,Procedência
02052592120228060117,Procedência
02014386120228060035,Procedência
02009982320228060049,Procedência
02052376020228060117,Procedência
02760853220228060001,Procedência
02016104220228060119,Procedência
02013004820228060115,Procedência
02011330920228060090,Procedência
02754565820228060001,Procedência
02031516020228060071,Procedência
02010299820228060160,Procedência
02750538920228060001,Procedência
02023430920228060151,Procedência
02745974220228060001,Procedência
02749091820228060001,Procedência
02743047220228060001,Procedência
02745169320228060001,Procedência
02014414720228060154,Procedência
02739366320228060001,Procedência
02656300820228060001,Procedência
02046854220228060167,Procedência
02657029220228060001,Procedência
02013939620228060119,Procedência
02654508920228060001,Procedência
02654508920228060001,Procedência
02651953420228060001,Procedência
02647589020228060001,Procedência
02647952020228060001,Procedência
02002458120228060044,Procedência
02638823820228060001,Procedência
02011589020228060035,Procedência
02639481820228060001,Procedência
02640330420228060001,Procedência
02010781420228060137,Procedência
02048267920228060064,Procedência
02635966020228060001,Procedência
02005281020228060140,Procedência
02008619620228060160,Procedência
02053806420228060112,Procedência
02007911820228060051,Procedência
02007622920228060160,Procedência
02006444220228060099,Procedência
02003678520228060047,Procedência
02011391820228060154,Procedência
02006578620228060181,Procedência
02005216620228060124,Procedência
02543478520228060001,Procedência
02542456320228060001,Procedência
02005800820228060107,Procedência
02008974420228060062,Procedência
02532963920228060001,Procedência
02011557720228060119,Procedência
02038362620228060117,Procedência
02005078220228060124,Procedência
02005086720228060124,Procedência
02007371620228060160,Procedência
02007423820228060160,Procedência
02523004120228060001,Procedência
02005307620228060108,Procedência
02008188820228060119,Procedência
02369744120228060001,Procedência
02007521120228060119,Procedência
02006626120228060035,Procedência
02006887520228060062,Procedência
02027095320228060117,Procedência
02014003820228060071,Procedência
02031115220228060112,Procedência
02031106720228060112,Procedência
02030976820228060112,Procedência
02005081920228060043,Procedência
02026727020228060167,Procedência
02321608320228060001,Procedência
08000178120228060133,Procedência
02308053820228060001,Procedência
02008771120228060173,Procedência
02012011620228060071,Procedência
02001576720228060036,Procedência
02011691120228060071,Procedência
02011709320228060071,Procedência
02003220920228060071,Procedência
02003065520228060071,Procedência
02003074020228060071,Procedência
02082641120228060001,Procedência
02002667320228060071,Procedência
02001342720228060035,Procedência
02075488120228060001,Procedência
02000497920228060087,Procedência
02001835720228060071,Procedência
02001904920228060071,Procedência
02001783520228060071,Procedência
02001628120228060071,Procedência
02001636620228060071,Procedência
02001305420228060143,Procedência
02000913220228060119,Procedência
02001201020228060143,Procedência
02001238420228060071,Procedência
02000234020228060036,Procedência
02033881320228060001,Procedência
02000231720228060076,Procedência
00504770920218060047,Procedência
00504753920218060047,Procedência
00512645020218060043,Procedência
00510427320218060143,Procedência
00569016620218060112,Procedência
02772981020218060001,Procedência
00536742620218060029,Procedência
02749112220218060001,Procedência
00565188820218060112,Procedência
02741941020218060001,Procedência
00504450420218060047,Procedência
00507386420218060114,Procedência
02723606920218060001,Procedência
00503423020218060036,Procedência
00531552220218060071,Procedência
02708181620218060001,Procedência
02704475220218060001,Procedência
00511293820218060043,Procedência
02800686520218060133,Procedência
00508665420218060124,Procedência
02487792520218060001,Procedência
02486051620218060001,Procedência
02481289020218060001,Procedência
02469995020218060001,Procedência
02467457720218060001,Procedência
02800033920218060111,Procedência
00534199520218060117,Procedência
02409915720218060001,Procedência
02385864820218060001,Procedência
00514810920218060071,Procedência
00514776920218060071,Procedência
00511992220218060151,Procedência
02357518720218060001,Procedência
02353603520218060001,Procedência
00513901620218060071,Procedência
00513486420218060071,Procedência
00510691820218060091,Procedência
00510484220218060091,Procedência
02800185820218060062,Procedência
00510008320218060091,Procedência
01972970920198060001,Procedência
01935123920198060001,Procedência
01932777220198060001,Procedência
01928316920198060001,Procedência
00200029220198060127,Procedência
01842567220198060001,Procedência
01835829420198060001,Procedência
01835829420198060001,Procedência
01775463620198060001,Procedência
01754739120198060001,Procedência
00034555820198060100,Procedência
00075589820198060071,Procedência
01610797920198060001,Procedência
00134327520198060035,Procedência
01544291620198060001,Procedência
01535137920198060001,Procedência
01499706820198060001,Procedência
01451760420198060001,Procedência
00061712320198060144,Procedência
01400021420198060001,Procedência
00089750420168060100,Procedência
00483357020168060091,Procedência
00125162020168060173,Procedência
00105769320168060181,Procedência
01315476520168060001,Procedência
00135494720168060043,Procedência
02062145620158060001,Procedência
00019659420158060082,Procedência
00350977820158060071,Procedência
00093216320158060043,Procedência
30039390220258060071,Improcedência
30012027720258060151,Improcedência
30180812720258060001,Improcedência
30156597920258060001,Improcedência
02085143920258060001,Improcedência
02072733020258060001,Improcedência
02071771520258060001,Improcedência
30438308020248060001,Improcedência
30417297020248060001,Improcedência
30010621320248060043,Improcedência
02820545720248060001,Improcedência
30012720420248060160,Improcedência
02756647120248060001,Improcedência
02739610820248060001,Improcedência
30003627320248060128,Improcedência
02681151020248060001,Improcedência
02670126520248060001,Improcedência
30023054220248060091,Improcedência
30022802920248060091,Improcedência
30199644320248060001,Improcedência
30007308920248060158,Improcedência
30009892820248060112,Improcedência
02572858220248060001,Improcedência
02566275820248060001,Improcedência
02547161120248060001,Improcedência
02533348020248060001,Improcedência
02520772020248060001,Improcedência
02504819820248060001,Improcedência
30015347820248060151,Improcedência
02467916120248060001,Improcedência
02457185420248060001,Improcedência
30004122020248060122,Improcedência
02427548820248060001,Improcedência
02424846420248060001,Improcedência
30115790920248060001,Improcedência
02315487720248060001,Improcedência
30003745120248060043,Improcedência
00101925120248060052,Improcedência
30002262520248060048,Improcedência
30011751720248060091,Improcedência
02252471720248060001,Improcedência
02002594520248060028,Improcedência
02232258320248060001,Improcedência
30078601920248060001,Improcedência
02209661820248060001,Improcedência
02169562820248060001,Improcedência
02000724720248060057,Improcedência
02166072520248060001,Improcedência
02008238920248060071,Improcedência
02160772120248060001,Improcedência
02160608220248060001,Improcedência
02003863520248060043,Improcedência
30000916420248060128,Improcedência
02001304420248060059,Improcedência
30001118920248060052,Improcedência
02103066220248060001,Improcedência
02101568120248060001,Improcedência
30000578920248060128,Improcedência
02044250720248060001,Improcedência
02001628420248060112,Improcedência
02001736320248060064,Improcedência
30000121720248060086,Improcedência
02019870820248060001,Improcedência
02014744020248060001,Improcedência
02874270620238060001,Improcedência
02843915320238060001,Improcedência
02789551620238060001,Improcedência
30003284420238060028,Improcedência
30007029020238060115,Improcedência
02763171020238060001,Improcedência
02756441720238060001,Improcedência
02051220520238060117,Improcedência
02742039820238060001,Improcedência
02729256220238060001,Improcedência
02697462320238060001,Improcedência
02006625720238060122,Improcedência
02675542020238060001,Improcedência
02667392320238060001,Improcedência
02666690620238060001,Improcedência
30322153020238060001,Improcedência
02638041020238060001,Improcedência
02626115720238060001,Improcedência
02617480420238060001,Improcedência
02613566420238060001,Improcedência
30014556720238060173,Improcedência
02010809120238060090,Improcedência
02591689820238060001,Improcedência
30304485420238060001,Improcedência
30302025820238060001,Improcedência
02558284920238060001,Improcedência
30004984620238060115,Improcedência
02554777620238060001,Improcedência
02045346020238060064,Improcedência
02045042520238060064,Improcedência
02528405520238060001,Improcedência
02528405520238060001,Improcedência
30280495220238060001,Improcedência
02516920920238060001,Improcedência
02515198220238060001,Improcedência
30267374120238060001,Improcedência
02497998020238060001,Improcedência
02492853020238060001,Improcedência
02486548620238060001,Improcedência
30008092320238060055,Improcedência
00278516620238060001,Improcedência
02449896220238060001,Improcedência
30005986020238060160,Improcedência
02020964020238060071,Improcedência
02428686120238060001,Improcedência
02009997320238060113,Improcedência
02419748520238060001,Improcedência
30001366020238060045,Improcedência
02417288920238060001,Improcedência
30231172120238060001,Improcedência
02390076720238060001,Improcedência
02008136720238060075,Improcedência
02383312220238060001,Improcedência
02381164620238060001,Improcedência
30001513420238060108,Improcedência
30002221820238060114,Improcedência
02315646520238060001,Improcedência
30007235520238060151,Improcedência
30001898920238060126,Improcedência
02250170920238060001,Improcedência
02001055020238060161,Improcedência
02218611320238060001,Improcedência
02000968820238060161,Improcedência
00182859320238060001,Improcedência
02200675420238060001,Improcedência
02198129620238060001,Improcedência
02173827420238060001,Improcedência
02172268620238060001,Improcedência
02172371820238060001,Improcedência
02167773120238060001,Improcedência
02164205120238060001,Improcedência
02134949720238060001,Improcedência
30102863820238060001,Improcedência
02097517920238060001,Improcedência
02086544420238060001,Improcedência
02002667620238060091,Improcedência
30088288320238060001,Improcedência
02052542220238060001,Improcedência
02000825420238060113,Improcedência
02024889320238060001,Improcedência
30000017520238060036,Improcedência
02029784320228060101,Improcedência
02004035720228060135,Improcedência
02031207720228060091,Improcedência
02009902120228060122,Improcedência
02888287420228060001,Improcedência
02037474420228060071,Improcedência
02008689620228060028,Improcedência
02009999720228060181,Improcedência
02872377720228060001,Improcedência
02869631620228060001,Improcedência
02008290520228060124,Improcedência
02004089820228060161,Improcedência
02005542320228060038,Improcedência
02004102820228060045,Improcedência
02004050620228060045,Improcedência
02003947420228060045,Improcedência
02003903720228060045,Improcedência
02812730620228060001,Improcedência
02007057020228060108,Improcedência
02006635020228060066,Improcedência
02755743420228060001,Improcedência
02009510620228060128,Improcedência
02004372320228060041,Improcedência
02062735520228060112,Improcedência
02010461620228060070,Improcedência
02721862620228060001,Improcedência
02006861620228060124,Improcedência
02017268020228060173,Improcedência
02006692020228060143,Improcedência
02003107320228060045,Improcedência
02662017620228060001,Improcedência
02013306320228060154,Improcedência
02656300820228060001,Improcedência
02657808620228060001,Improcedência
02006492920228060143,Improcedência
02633099720228060001,Improcedência
02004910220228060069,Improcedência
02621017820228060001,Improcedência
02595632720228060001,Improcedência
02013647820228060173,Improcedência
02005194720228060108,Improcedência
02002128820228060045,Improcedência
30000209120228060141,Improcedência
02397467420228060001,Improcedência
02001441220228060087,Improcedência
02318853720228060001,Improcedência
02004450720228060168,Improcedência
02001326020228060131,Improcedência
02178913920228060001,Improcedência
02178913920228060001,Improcedência
02012923020228060064,Improcedência
02077436620228060001,Improcedência
02037406820228060001,Improcedência
02903394420218060001,Improcedência
02876823220218060001,Improcedência
00513983420218060122,Improcedência
00508888820218060132,Improcedência
00513212420218060090,Improcedência
02767533720218060001,Improcedência
00510544120218060126,Improcedência
00510795220218060062,Improcedência
00507599420218060096,Improcedência
00505956120218060054,Improcedência
00503243120218060061,Improcedência
02271716820218060001,Improcedência
02120405320218060001,Improcedência
02636231420208060001,Improcedência
02384551020208060001,Improcedência
02226164220208060001,Improcedência
01934690520198060001,Improcedência
01855133520198060001,Improcedência
00017219220198060158,Improcedência
01711602420188060001,Improcedência
01413085220188060001,Improcedência
01748676820168060001,Improcedência
00111447220158060043,Improcedência
01588748720138060001,Improcedência
02094665220248060001,Improcedência do pedido e improcedência do pedido contraposto
02004945120248060112,Improcedência do pedido e improcedência do pedido contraposto
02026496920248060001,Improcedência do pedido e improcedência do pedido contraposto
02014232920248060001,Improcedência do pedido e improcedência do pedido contraposto
02614207420238060001,Improcedência do pedido e improcedência do pedido contraposto
02042587920238060112,Improcedência do pedido e improcedência do pedido contraposto
02028271020238060112,Improcedência do pedido e improcedência do pedido contraposto
02186523620238060001,Improcedência do pedido e improcedência do pedido contraposto
02012283620238060112,Improcedência do pedido e improcedência do pedido contraposto
02047761420238060001,Improcedência do pedido e improcedência do pedido contraposto
02063489420228060112,Improcedência do pedido e improcedência do pedido contraposto
02006673320228060181,Improcedência do pedido e improcedência do pedido contraposto
02678787820218060001,Improcedência do pedido e improcedência do pedido contraposto
02226629420218060001,Improcedência do pedido e improcedência do pedido contraposto
